educator,female
secretary,female
baker,male
scientist,male
bartender,male
worker,male
painter,male
carpenter,male
firefighter,male
plumber,male
therapist,female
administrator,female
dispatcher,male
lawyer,male
cashier,female
teacher,female
electrician,male
hairdresser,female
broker,male
hygienist,female
physician,male
programmer,male
auditor,male
counselor,female
salesperson,male
engineer,male
clerk,male
supervisor,male
doctor,male
psychologist,female
investigator,male
architect,male
chef,male
practitioner,female
appraiser,female
paramedic,male
pharmacist,male
instructor,male
receptionist,female
janitor,male
chemist,male
officer,male
planner,female
nutritionist,female
machinist,male
dietitian,female
technician,male
examiner,female
advisor,male
pathologist,female
surgeon,male
nurse,female
mechanic,male
veterinarian,female
manager,male
inspector,male
paralegal,female
accountant,male
specialist,female
librarian,female
